label	beta	pvalue	lower_confidence_interval	upper_confidence_interval	exposure	label_units	class	subclass
Free cholesterol in medium HDL	-0.139563866	0.019995238	-0.257145023	-0.02198271	BMI_European_women	Free cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL
Total lipids in medium HDL	-0.074152226	0.290253575	-0.211579516	0.063275065	BMI_European_women	Total lipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL
Concentration of medium HDL particles	-0.065630796	0.327754819	-0.197073966	0.065812374	BMI_European_women	Concentration of medium HDL particles (mol/l)	Lipoprotein subclasses	Medium HDL
Phospholipids in medium HDL	-0.083916923	0.144448134	-0.196616894	0.028783048	BMI_European_women	Phospholipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL
Total cholesterol in medium LDL	0.041325727	0.572867446	-0.10233091	0.184982365	BMI_European_women	Total cholesterol in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL
Cholesterol esters in medium LDL	0.007572694	0.928852074	-0.158656598	0.173801987	BMI_European_women	Cholesterol esters in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL
Total lipids in medium LDL	0.018020943	0.83053816	-0.147021886	0.183063772	BMI_European_women	Total lipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL
Concentration of medium LDL particles	0.018842871	0.822352847	-0.145650527	0.18333627	BMI_European_women	Concentration of medium LDL particles (mol/l)	Lipoprotein subclasses	Medium LDL
Phospholipids in medium LDL	0.046374669	0.524214206	-0.096347357	0.189096695	BMI_European_women	Phospholipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL
Total cholesterol in medium VLDL	0.15415522	0.01673619	0.027864638	0.280445803	BMI_European_women	Total cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL
Cholesterol esters in medium VLDL	0.10358056	0.177817903	-0.047081604	0.254242725	BMI_European_women	Cholesterol esters in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL
Free cholesterol in medium VLDL	0.182356321	0.001494681	0.069808916	0.294903726	BMI_European_women	Free cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL
Total lipids in medium VLDL	0.161919279	0.01546953	0.03084283	0.292995728	BMI_European_women	Total lipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL
Concentration of medium VLDL particles	0.194034546	0.005652393	0.056605041	0.331464051	BMI_European_women	Concentration of medium VLDL particles (mol/l)	Lipoprotein subclasses	Medium VLDL
Phospholipids in medium VLDL	0.188214668	0.000850102	0.077631059	0.298798276	BMI_European_women	Phospholipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL
Triglycerides in medium VLDL	0.217775876	1.81E-05	0.118204731	0.31734702	BMI_European_women	Triglycerides in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL
"Monounsaturated fatty acids; 16:1, 18:1"	0.076439547	0.203375968	-0.041345403	0.194224496	BMI_European_women	"Monounsaturated fatty acids; 16:1, 18:1 (mmol/l)"	Fatty acids	Fatty acids
Other polyunsaturated fatty acids than 18:2	-0.037228794	0.606012684	-0.178702621	0.104245033	BMI_European_women	Other polyunsaturated fatty acids than 18:2	Fatty acids	Fatty acids
Phosphatidylcholine and other cholines	-0.111270136	0.156267747	-0.265099488	0.042559215	BMI_European_women	Phosphatidylcholine and other cholines (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids
Phenylalanine	0.251864717	1.33E-06	0.149756108	0.353973325	BMI_European_women	Phenylalanine (mmol/l)	Amino acids	Aromatic amino acids
Pyruvate	0.107624402	0.00489889	0.032651692	0.182597113	BMI_European_women	Pyruvate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites
Total lipids in small HDL	0.028999279	0.65971571	-0.10008964	0.158088199	BMI_European_women	Total lipids in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL
Concentration of small HDL particles	0.039231748	0.529323307	-0.08300898	0.161472476	BMI_European_women	Concentration of small HDL particles (mol/l)	Lipoprotein subclasses	Small HDL
Triglycerides in small HDL	0.148539433	0.020476476	0.022913884	0.274164983	BMI_European_women	Triglycerides in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL
Total cholesterol in small LDL	0.076597303	0.289418183	-0.065115818	0.218310424	BMI_European_women	Total cholesterol in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL
Total lipids in small LDL	0.044422063	0.592825169	-0.118397601	0.207241728	BMI_European_women	Total lipids in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL
Concentration of small LDL particles	0.034261347	0.685655603	-0.1316459	0.200168595	BMI_European_women	Concentration of small LDL particles (mol/l)	Lipoprotein subclasses	Small LDL
Total cholesterol in small VLDL	0.10064806	0.136940137	-0.031989928	0.233286048	BMI_European_women	Total cholesterol in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL
Free cholesterol in small VLDL	0.124706576	0.050844793	-0.000460603	0.249873754	BMI_European_women	Free cholesterol in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL
