exposure	label	group1	group2	effect_estimate	lower_ci	upper_ci	pvalue
BMI	Concentration of small VLDL particles	Lipoprotein subclasses	Small VLDL	0.115714803564652	0.0138342305644218	0.217595376564882	0.0260044135235365
BMI	Phospholipids in small VLDL	Lipoprotein subclasses	Small VLDL	0.0946103791073659	0.00135662347739922	0.187864134737333	0.0467549380506903
BMI	Triglycerides in small VLDL	Lipoprotein subclasses	Small VLDL	0.142066137156258	0.0484138892569331	0.235718385055583	0.00294683995265036
BMI	Serum total cholesterol	Cholesterol	Cholesterol	0.0108194932638474	-0.0907490283706263	0.112388014898321	0.834614367457065
BMI	Serum total triglycerides	Glycerides and phospholipids	Glycerides and phospholipids	0.139224135830277	0.0428679595912358	0.235580312069318	0.00462599279462626
BMI	Sphingomyelins	Glycerides and phospholipids	Glycerides and phospholipids	0.0496287534661355	-0.0429645181003289	0.1422220250326	0.293472782379801
BMI	Total fatty acids	Fatty acids	Fatty acids	0.0378315127923857	-0.0739797922236715	0.149642817808443	0.507222473603514
BMI	Total phosphoglycerides	Glycerides and phospholipids	Glycerides and phospholipids	-0.0795579764862703	-0.181230220850718	0.0221142678781773	0.125106105844702
BMI	Tyrosine	Amino acids	Aromatic amino acids	0.160763225080357	0.0898728895539109	0.231653560606803	8.79589061735798e-06
BMI	Urea	Amino acids	Amino acids	0.011193960512032	-0.0680325957624183	0.0904205167864823	0.781834318025801
BMI	Valine	Amino acids	Branched-chain amino acids	0.144081368353363	0.0679137435770972	0.220248993129629	0.000209228505279291
BMI	Mean diameter for VLDL particles	Lipoprotein particle size	Lipoprotein particle size	0.102568174132924	0.0131018436126729	0.192034504653175	0.0246380437411402
BMI	Total cholesterol in very large HDL	Lipoprotein subclasses	Very large HDL	-0.124616958884294	-0.1954914099837	-0.053742507784888	0.000568478781630024
BMI	Cholesterol esters in very large HDL	Lipoprotein subclasses	Very large HDL	-0.135393112398297	-0.213311907601542	-0.057474317195052	0.000659870260368135
BMI	Free cholesterol in very large HDL	Lipoprotein subclasses	Very large HDL	-0.163863715886576	-0.237215273216601	-0.0905121585565506	1.19475853889551e-05
BMI	Total lipids in very large HDL	Lipoprotein subclasses	Very large HDL	-0.153277777013267	-0.233097806109983	-0.0734577479165509	0.000167369054059426
